rank,profile,name,url,state,revenue,growth_%,industry,workers,previous_workers,founded,yrs_on_list,metro,city,total_workers
1,https://www.inc.com/profile/freestar,Freestar,http://freestar.com,AZ,36900000,36680.3882,Advertising & Marketing,40,5,2015,1,Phoenix,Phoenix,45
2,https://www.inc.com/profile/freightwise,FreightWise,http://freightwisellc.com,TN,33600000,30547.9317,Logistics & Transportation,39,8,2015,1,Nashville,Brentwood,47
3,https://www.inc.com/profile/ceces-veggie,Cece's Veggie Co.,http://cecesveggieco.com,TX,24900000,23880.4852,Food & Beverage,190,10,2015,1,Austin,Austin,200
4,https://www.inc.com/profile/ladyboss,LadyBoss,http://ladyboss.com,NM,32400000,21849.8925,Consumer Products & Services,57,2,2014,1,Unknown,Albuquerque,59
5,https://www.inc.com/profile/perpay,Perpay,http://perpay.com,PA,22500000,18166.407,Retail,25,6,2014,1,Philadelphia,Philadelphia,31
6,https://www.inc.com/profile/cano-health,Cano Health,http://canohealth.com,FL,271800000,14183.4118,Health,742,18,2009,1,Miami,Miami,760
7,https://www.inc.com/profile/bear-mattress,Bear Mattress,http://bearmattress.com,NJ,20500000,13480.731,Consumer Products & Services,12,1,2014,1,New York City,Hoboken,13
8,https://www.inc.com/profile/connected-solutions-group,Connected Solutions Group,http://csgstore.net,VA,23300000,12700.6588,Telecommunications,72,1,2015,1,"Richmond, VA",Mechanicsville,73
9,https://www.inc.com/profile/providence-healthcare-management,Providence Healthcare Management,http://providencehcm.com,OH,225900000,12564.5364,Health,60,10,2008,1,Cleveland,Cleveland,70
10,https://www.inc.com/profile/nom,NOM,http://thisisnom.co,CA,21400000,11996.2964,Advertising & Marketing,37,5,2014,1,Los Angeles,Los Angeles,42
11,https://www.inc.com/profile/nuleaf-naturals,NuLeaf Naturals,nuleafnaturals.com,CO,13900000,11949.179,Consumer Products & Services,40,2,2014,1,Denver,Denver,42
12,https://www.inc.com/profile/urgently,Urgently,geturgently.com,VA,30300000,11632.8771,Logistics & Transportation,226,18,2013,1,"Washington, DC",VIenna,244
13,https://www.inc.com/profile/nutpods,nutpods,http://nutpods.com,WA,19100000,11622.5291,Food & Beverage,23,3,2013,1,Seattle,Bellevue,26
14,https://www.inc.com/profile/yieldstreet,YieldStreet,http://yieldstreet.com,NY,19100000,10561.7147,Financial Services,66,10,2015,1,New York City,New York,76
15,https://www.inc.com/profile/mutesix,MuteSix,http://mutesix.com,CA,17300000,10175.7553,Advertising & Marketing,109,8,2014,3,Los Angeles,Los Angeles,117
16,https://www.inc.com/profile/anchor-worldwide,Anchor Worldwide,anchorww.com,NY,10700000,9753.201,Advertising & Marketing,110,3,2015,1,New York City,New York,113
17,https://www.inc.com/profile/lendingpoint,LendingPoint,lendingpoint.com,GA,105800000,9265.2406,Financial Services,190,32,2014,1,Atlanta,Kennesaw,222
